姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
武强,1959年10月10日,男,内蒙古呼和浩特市,"(40.828318873081585, 111.6603505200542)",中国矿业大学,"(38.520592848923066, 106.16136336953299)",水文地质环境地质学家
闻雪友,1940年9月14日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国船舶重工集团公司第七_三研究所,"(39.955550103641734, 116.297033674487)",舰船燃气轮机专家
王双明,1955年5月21日,男,陕西宝鸡市,"(34.36408080974784, 107.17064545238307)",陕西省煤田地质局,"(34.25215583831429, 108.98138998992769)",煤炭资源与地质勘查专家
王国法,1960年8月1日,男,山东文登,"(37.166083447280435, 121.96829072765755)",煤炭科学研究总院,"(39.97083158027116, 116.436401084307)",煤炭开采技术与装备专家
万元熙,1939年12月9日,男,江苏南京,"(32.05723550180587, 118.77807440802562)",中科院等离子体所,"(41.76848516571642, 123.4340684018708)",磁约束核聚变专家
周守为,1950年11月11日,男,四川南充,"(30.36748093795755, 102.89915972360397)",中国海洋石油总公司,"(39.94870713686542, 116.45243373921843)",海洋石油开发工程专家
郑健超,1939年10月6日,男,广东省中山市,"(22.545177514512996, 113.42206002079804)",中国电力科学研究院,"(39.82945812987566, 116.29510818447382)",高电压技术专家
金庆焕,1934年10月25日,男,浙江省临海市,"(28.857388590573088, 121.22191927301837)",广州海洋地质调查局,"(23.14036576474272, 113.26913804325628)",海洋地质、油气地质专家
胡见义,1934年3月25日,男,北京市生,"(39.92998577808024, 116.39564503787867)",中国石油天然气总公司,"(39.94758359212297, 116.43875364133591)",石油天然气地质与勘探专家
洪伯潜,1931年12月30日,男,福建省厦门市,"(24.489230612469232, 118.10388604566381)",中国煤炭科工集团,"(34.24510910569157, 108.90766936338639)",矿井建设特殊凿井工程专家
何继善,1934年9月1日,男,湖南省浏阳县,"(28.234472053802154, 113.72198528266263)",中南大学,"(28.14519794888072, 113.00013894833069)",应用地球物理学家
韩大匡,1932年11月26日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",中国石油勘探开发研究院,"(40.00221665280599, 116.3600644546799)",油田开发工程专家
胡思得,1936年3月31日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",中国工程物理研究院,"(30.631912145834242, 104.06504396475454)",核武器工程专家
邱中建,1933年6月9日,男,四川省广安市,"(30.4639838878878, 106.63572033136818)",中国石油天然气集团公司,"(39.95979591296104, 116.39825450309696)",石油地质专家
秦裕琨,1933年5月30日,男,江苏省扬州市,"(32.40850525456844, 119.42777755116975)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",热能工程、燃烧学专家
杨裕生,1932年9月6日,男,江苏省如皋县,"(32.2736162726057, 120.58014398499533)",中国人民解放军防化研究院第一研究所,"(35.24171236301076, 113.23080396515695)",核试验技术、分析化学专家
杨奇逊,1937年10月30日,男,上海市,"(31.24916171001514, 121.48789948569473)",华北电力大学,"(38.88288792535689, 115.51229874365995)",电力系统继电保护专家
许绍燮,1932年1月1日,男,浙江省绍兴市,"(30.00236458052847, 120.59246738555154)",中国地震局地球物理研究所,"(39.95326696006272, 116.32194364316001)",地震学专家
徐_,1937年4月7日,男,江苏扬州,"(32.40850525456844, 119.42777755116975)",中国核工业集团,"(39.95491060658778, 116.8283323020225)",快堆技术专家
徐大懋,1935年10月17日,男,安徽省当涂县,"(31.503024380618424, 118.64667323992884)",哈尔滨电站设备集团公司,"(45.7732246332393, 126.65771685544611)",热力涡轮机和热能工程专家
鲜学福,1929年1月21日,男,四川省阆中市,"(31.60211734888562, 106.07809314825234)",重庆大学,"(29.57078101532597, 106.47541107674738)",我国著名矿山安全技术专家
