姓名,出生日期(xxxx年x月x日),性别,籍贯(至少精确到市或县，标注经纬度),,所在单位(标注经纬度),,专业
刘加平,1956年11月5日,男,陕西省大荔县,"(34.79684037464939, 110.01194954265355)",西安建筑科技大学,"(34.25090352405332, 109.02284407633053)",建筑热工与节能专家
黄卫,1961年4月1日,男,江苏南通,"(32.014664540823446, 120.87380095093022)",东南大学,"(32.06252933589934, 118.80499856090633)",道路、桥梁及交通工程专家
何镜堂,1938年4月2,男,广东省东莞市,"(23.043023815368237, 113.76343399075655)",华南理工大学建筑学院,"(23.16172507814381, 113.35541808122282)",建筑学家
胡春宏,1962年4月30日,男,浙江省慈溪,"(30.189257122713578, 121.3384082593209)",中国水利水电科学研究院,"(39.93648860044943, 116.3290521987623)",水力学及河流动力学专家
何华武,1955年8月1日,男,四川省资阳市,"(30.13219143395195, 104.63593030167381)",中国铁路总公司,"(39.912293587243525, 116.33325435066672)",铁道工程专家
郭仁忠,1956年8月24日,男,江苏盐城,"(33.01379716995394, 119.36848893835847)",深圳市规划和国土资源委员会,"(22.54943780823729, 114.04330869441999)",地理信息工程专家
龚晓南,1944年10月12日,男,浙江省金华市,"(29.10289910539069, 119.65257570368145)",浙江大学,"(29.896502974160494, 121.64415166666014)",岩土工程专家
陈湘生,1956年6月1日,男,湖南湘潭,"(27.83509505297878, 112.93555563303435)",深圳地铁集团有限公司,"(22.484363360348254, 113.91087610796036)",隧道与地下工程专家
郑绵平,1934年11月17日,男,福建省漳州市,"(24.517064779808482, 117.67620467894616)",中国地质科学院盐湖与热水资源研究发展中心,"(35.0636768789324, 110.96193094165363)",盐湖学和地质矿床学学家
赵文津,1931年2月1日,男,北京市,"(39.92998577808024, 116.39564503787867)",清华大学物理系,"(40.00855127631554, 116.34011089294631)",矿产勘查和深部地球物理探测专家
张勇传,1935年3月1日,男,河南省南阳市,"(33.0114195691165, 112.5428419005123)",华中科技大学能源科学与工程学院,"(22.53730682931616, 113.93059589017)",水利水电工程专家
周邦新,1935年12月29日,男,江苏省苏州市,"(31.317987367952437, 120.61990711548988)",上海大学材料研究所,"(31.282663885200073, 121.46484178884765)",核材料、核燃料元件专家
张信威,1938年1月2日,男,湖南省娄底地区,"(27.741073302349072, 111.99639635657)",北京应用物理与计算数学研究所,"(39.96218104368261, 116.38079029864346)",核技术应用专家
翟光明,1926年10月1日,男,湖北省宜昌市,"(30.73275781802591, 111.31098109196083)",北京大学地质学系,"(39.92998577808024, 116.39564503787867)",石油勘探专家
余贻鑫,1936年11月6日,男,北京市密云县,"(40.532843361005, 117.00120053501465)",天津大学,"(39.11876347552782, 117.1805305768109)",电力系统分析、规划与仿真专家
于润沧,1930年3月20日,男,山西省浑源县,"(39.634162361299076, 113.71075899599177)",中国恩菲工程技术有限公司,"(39.91265775036934, 116.32959882036003)",矿山工程设计专家
叶奇蓁,1934年9月16日,男,浙江海宁,"(30.442176799316616, 120.61872710777868)",中国核工业集团公司,"(39.91925686620326, 116.34627735333993)",能源科学技术其他学科专家
翁史烈,1932年5月21日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",上海交通大学,"(31.204432923436023, 121.44134875518435)",热力涡轮机专家
王仲奇,1932年6月29日,男,河北省唐县,"(38.90452113124948, 114.80609127314982)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",热力叶轮机械专家
王思敬,1934年12月27日,男,安徽巢湖市,"(31.608732547545824, 117.88049041703327)",中国科学院地质研究所,"(39.91644337799662, 116.34242764441588)",工程地质、环境地质、和岩体力学专家
王德民,1937年2月9日,男,河北省唐山市,"(39.6505309225366, 118.18345059773411)",大庆油田有限责任公司,"(46.62220941769803, 124.92071028801641)",油气田开发工程专家
童晓光,1935年4月8日,男,浙江省嵊州市,"(29.59100803146762, 120.76143097735225)",中国石油天然气勘探开发公司,"(39.93575209803298, 116.36412365743192)",石油地质和勘探专家
汤中立,1934年10月30日,男,安徽省安庆市,"(30.537897817381097, 117.0587387721073)",长安大学,"(34.235773056510425, 108.96244890474118)",地质矿产勘查专家
钱绍钧,1934年10月22日,男,浙江省平湖,"(30.7165285872078, 121.10583903762272)",中国人民解放军总装备部科技委,"(35.24171236301076, 113.23080396515695)",实验原子核物理学家
唐西生,1938年1月20日,男,江苏省宜兴市,"(31.362244911878832, 119.79026529658498)",中国人民解放军火箭军研究院,"(35.24171236301076, 113.23080396515695)",核技术应用专家
钱鸣高,1932年12月11日,男,江苏省无锡县,"(31.57003745192303, 120.30545590053595)",中国矿业大学,"(38.520592848923066, 106.16136336953299)",采矿工程专家
钱皋韵,1927年3月14日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国核工业集团公司,"(39.91925686620326, 116.34627735333993)",核燃料工程、同位素分离专家
彭士禄,1925年11月18日,男,广东省海丰县,"(22.969599520285772, 115.2863223299044)",中国核工业集团公司,"(39.91925686620326, 116.34627735333993)",核动力专家
裴荣富  ,1924年8月24日,男,山东省聊城市,"(36.455828514727976, 115.98686913929107)",中国地质科学院矿产资源研究所,"(26.067857197158983, 110.59842700993887)",矿床地质与矿产勘查学专家
孙玉发,1937年5月24日,男,黑龙江省嫩江市,"(49.621866015064384, 125.7712750896317)",中国核动力研究设计院,"(30.639266399103025, 104.06389272695533)",反应堆工程专家
沈忠厚,1928年2月13日,男,四川省大竹县,"(30.690772377765605, 107.27987739411674)",中国石油大学  ,"(39.79153159938975, 119.43000116812065)",石油钻井和水射流技术专家
潘自强,1936年6月1日,男,湖南省益阳市,"(28.58808777988717, 112.36654664522563)",中国核工业集团公司,"(39.91925686620326, 116.34627735333993)",辐射防护和环境保护专家
潘桓,1933年8月8日,男,江苏省扬州市,"(32.40850525456844, 119.42777755116975)",华中科技大学,"(22.53730682931616, 113.93059589017)",磁约束聚变技术和高功率脉冲电源技术专家
倪维斗,1932年1月1日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",清华大学,"(40.00864488780562, 116.33375156995295)",动力机械工程专家
毛用泽,1930年9月1日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",中国人民解放军总装备部防化研究院,"(35.24171236301076, 113.23080396515695)",核技术应用专家
梁维燕,1929年10月2日,男,山西省襄陵（现襄汾）县,"(36.01408707909032, 111.39796603388277)",哈电集团公司,"(45.60015899369647, 126.59135857827087)",发电工程与设备专家
康玉柱,1936年5月5日,男,辽宁省北宁市,"(41.62160010595761, 122.75359155771858)",中国石化集团,"(37.726404464336106, 116.70220624509768)",石油地质专家
顾心怿,1937年1月23日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国石化集团,"(37.726404464336106, 116.70220624509768)",石油矿业机械专家
李庆忠,1930年10月10日,男,江苏省昆山市,"(31.32893679549736, 120.96580778410554)",中国石油天然气集团公司,"(39.95979591296104, 116.39825450309696)",石油地球物理勘探专家
古德生,1937年10月13日,男,广东省梅县,"(24.364782435299553, 116.17102725100314)",中南大学,"(28.14519794888072, 113.00013894833069)",采矿工程专家
傅依备,1929年4月4日,男,湖南省岳阳县,"(29.178498531192286, 113.23752715255532)",中国工程物理研究院,"(30.631912145834242, 104.06504396475454)",核化学与化工专家
范维唐,1935年7月18日,男,北京市,"(39.92998577808024, 116.39564503787867)",煤炭科学研究总院,"(39.97083158027116, 116.436401084307)",矿山压力及开采机械化专家
陈毓川,1934年12月1日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",中国地质科学院,"(39.933016720212834, 116.34297110128331)",矿床地质专家
岑可法,1935年1月15日,男,广东省南海市,"(23.037411158326083, 113.14703552459845)",浙江大学,"(29.896502974160494, 121.64415166666014)",工程热物理专家
陈清泉,1937年1月14日,男,福建省漳州市,"(24.517064779808482, 117.67620467894616)",中国矿业大学,"(38.520592848923066, 106.16136336953299)",电机、电力驱动、电动汽车和智慧能源系统专家
常印佛,1931年7月6日,男,江苏省泰兴市,"(32.213678940627226, 120.13534629200471)",清华大学,"(40.00864488780562, 116.33375156995295)",矿床地质学家
安继刚,1938年1月18日,男,天津市武清区,"(39.457042575494015, 117.0345779137272)",清华大学核能与新能源技术研究院核技术研究所,"(40.20600449899894, 116.24897770912851)",核技术及应用专家
赵宪庚,1953年11月7日,男,山西省忻州市,"(38.46103057295889, 112.72793882880985)",中国工程院,"(39.95681575330512, 116.38369901098648)",凝聚态和核物理学家
赵文智,1958年8月1日,男,河北省昌黎县,"(39.63802116472844, 119.09462149738174)",中国石油勘探开发研究院,"(40.00221665280599, 116.3600644546799)",石油地质与油气勘探专家
张玉卓,1962年1月5日,男,山东省寿光市,"(37.029891849505624, 118.8525335212366)",中国煤炭科学研究院,"(40.80418868075531, 111.71945264464163)",洁净煤技术专家
曾恒一,1939年9月22日,男,重庆市,"(29.54460610888615, 106.53063501341296)",中国海洋石油总公司,"(39.94870713686542, 116.45243373921843)",海洋石油工程专家
岳光溪,1945年10月30日,男,北京市,"(39.92998577808024, 116.39564503787867)",清华大学,"(40.00864488780562, 116.33375156995295)",洁净煤技术专家
张铁岗,1946年9月24日,男,河南省许昌县,"(34.048516339750776, 113.83526207686253)",河南理工大学,"（35.1880705186,113.2657576798）",安全技术及工程专家
袁士义,1956年10月21日,男,江苏省丰县,"(34.69577332862766, 116.61573315372702)",中国石油勘探开发研究院,"(40.00221665280599, 116.3600644546799)",油气田开发工程专家
袁亮,1960年6月30日,男,安徽省金寨县,"(31.47909281966015, 115.77931490356178)",安徽理工大学,"(32.63984306868873, 117.01732831460647)",煤炭开采及瓦斯治理专家
于俊崇,1940年12月5日,男,江苏省滨海县,"(34.09231717639178, 120.02660867811394)",中国核动力研究设计院,"(30.639266399103025, 104.06389272695533)",核动力专家
衣宝廉,1938年5月29日,男,辽宁省辽阳市,"(41.27333926556943, 123.17245120514733)",大连新源动力股份有限公司,"(38.85427976326193, 121.51024823264686)",燃料电池专家
薛禹胜,1941年2月7日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",国网电力科学研究院,"(32.08741343922694, 118.77992890675094)",稳定性理论及电力系统自动化专家
谢克昌,1946年10月5日,男,山西省五台县,"(38.77817400149207, 113.442104045353)",清华大学,"(40.00864488780562, 116.33375156995295)",煤化学工程专家
谢和平,1956年1月17日,男,湖南省双峰县,"(27.465564445593877, 112.1879228236664)",四川大学,"(30.636985820461657, 104.08904497670915)",矿山岩体力学专家
夏佳文,1964年7月17日,男,重庆市涪陵区,"(29.66467054055969, 107.34079973802694)",中国科学院近代物理研究所,"(36.05916053365613, 103.86638448724024)",重离子加速器物理及技术专家
唐立,1965年12月5日,男,江苏省宜兴市,"(31.362244911878832, 119.79026529658498)",北京应用物理与计算数学研究所,"(39.96218104368261, 116.38079029864346)",核武器物理研究与设计专家
汤广福,1966年8月9日,男,安徽省滁州市,"(32.31735059538377, 118.32457035097686)",全球能源互联网研究院,"(40.13811997382614, 116.4712754646291)",电力系统电力电子技术专家
孙龙德,1962年3月15日,男,山东省寿光市,"(37.029891849505624, 118.8525335212366)",中国石油天然气股份有限公司,"(39.948884353308536, 116.43928264177275)",天然气田开发工程与石油地质专家
孙金声,1965年1月1日,男,江西省于都县,"(25.93677166072324, 115.50889266701078)",中国石油集团钻井工程技术研究院钻井液所,"(39.982875275979296, 116.26227173237068)",油气钻井工程专家
孙承维,1939年12月12日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国工程物理研究院流体物理研究所,"(30.631912145834242, 104.06504396475454)",爆炸力学专家
苏义脑,1949年7月9日,男,河南省偃师县,"(34.630801858345976, 112.73482167429046)",中国石油集团钻井工程技术研究院,"(39.982875275979296, 116.26227173237068)",油气钻井工程专家
苏万华,1941年11月27日,男,山东省宁津县,"(37.685621601849725, 116.81455550432038)",天津大学,"(39.11876347552782, 117.1805305768109)",内燃机动力工程专家
沈国荣,1949年7月17日,男,江苏省武进县,"(31.672903473648443, 119.94343167667479)",国网电力科学研究院,"(32.08741343922694, 118.77992890675094)",电力系统保护与控制专家
邱爱慈,1941年11月22日,女,浙江省绍兴市,"(30.00236458052847, 120.59246738555154)",西北核技术研究所,"(34.334303273786986, 109.14814231508382)",高功率脉冲技术和强流电子束加速器专家
彭先觉,1941年9月16日,男,湖南省湘潭县,"(27.669222810690083, 112.78880535021334)",中国工程物理研究院,"(30.631912145834242, 104.06504396475454)",原子核物理学专家
彭苏萍,1959年6月15日,男,江西省萍乡市,"(27.639544222952306, 113.85991703300718)",中国矿业大学,"(38.520592848923066, 106.16136336953299)",矿山工程地质与工程物探专家
欧阳晓平,1961年1月24日,男,湖南省宁远县,"(25.65383956423053, 111.9880631639827)",西北核技术研究所,"(34.334303273786986, 109.14814231508382)",实验核物理学家
毛景文,1956年12月19日,男,山西省运城市,"(35.03885947981193, 111.00685365308033)",中国地质科学院矿产资源研究所,"(26.067857197158983, 110.59842700993887)",矿床地质与矿产勘查学家
马永生,1961年9月9日,男,内蒙古自治区土默特左旗,"(40.68998701613934, 111.23470409261432)",中国石化集团,"(37.726404464336106, 116.70220624509768)",沉积学家、石油地质学家、石油与天然气勘探专家
李焯芬,1945年5月4日,男,广东省中山市,"(22.545177514512996, 113.42206002079804)",香港大学,"(22.287502435996924, 114.1492677620684)",工程与技术科学基础学科专家
李阳,1958年10月26日,男,山东省东平县,"(35.97516090244022, 116.3429532055832)",中国科学院地质地球物理研究所,"(46.53436942367297, 124.86839028558828)",油气田开发地质、油田开发专家
李晓红,1959年6月13日,男,重庆市,"(29.54460610888615, 106.53063501341296)",中国工程院,"(39.95681575330512, 116.38369901098648)",矿山安全技术专家
李立_,1941年7月8日,男,江苏省盐城市,"(33.379861877120995, 120.14887181793894)",中国南方电网公司,"(23.121134551877876, 113.32540706046706)",电网工程专家
李建刚,1961年11月3日,男,安徽省合肥市,"(31.86694226068694, 117.28269909168304)",中国科学院合肥物质科学研究院,"(31.898752699173006, 117.17743590354937)",等离子体物理学家
李根生,1961年9月22日,男,安徽省石台县,"(30.19916054005084, 117.53828189033854)",中国石油大学  ,"(39.79153159938975, 119.43000116812065)",油气钻井与完井工程专家
何多慧,1939年2月21日,男,四川省仪陇县,"(31.443593221681397, 106.53472488695131)",中国科技大学,"(31.129702508932258, 121.55235667891878)",粒子加速器专家
郭剑波,1960年3月6日,男,湖南省桃源县,"(28.917817681601637, 111.27070654870533)",中国电力科学研究院,"(39.82945812987566, 116.29510818447382)",电力系统分析与控制专家
顾金才,1939年2月12日,男,河北省卢龙县,"(39.92097845518615, 118.98556414609303)",总参工程兵科研三所,"(39.82207413021853, 119.50130194287242)",岩土工程与防护工程地质力学模型试验研究专家
顾大钊,1958年5月1日,男,江苏省滨海县,"(34.09231717639178, 120.02660867811394)",神华集团科技发展部,"(39.956396035812965, 116.40626073539535)",矿山工程与水文地质专家
范维澄,1943年1月28日,男,湖北省鄂州市,"(30.384439322752247, 114.89559404135665)",清华大学,"(40.00864488780562, 116.33375156995295)",火灾科学与安全工程专家
韩英铎,1938年5月1日,男,辽宁省沈阳市,"(41.808644783515746, 123.43279092160505)",清华大学,"(40.00864488780562, 116.33375156995295)",电力系统及其自动化专家
邓建军,1964年4月8日,男,江西省吉安市,"(27.113847650157084, 114.99203871092017)",中国工程物理研究院流体物理研究所,"(30.631912145834242, 104.06504396475454)",强流脉冲加速器专家
陈勇,1957年6月13日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",广州能源研究所,"(23.12004910207623, 113.30764967515182)",能源与环境工程技术专家
陈森玉,1939年12月2日,男,福建省仙游县,"(25.46825833639587, 118.70462563885148)",中国科学院高能物理所,"(39.91644337799662, 116.34242764441588)",加速器物理学家
蔡美峰,1943年5月18日,男,江苏省如东县,"(32.387662145338346, 121.05924442185102)",北京科技大学,"(39.996548082835545, 116.36597539925762)",岩石力学与采矿工程专家
左铁镛,1936年9月3日,男,北京市,"(39.92998577808024, 116.39564503787867)",北京工业大学,"(39.88128329392662, 116.48981343252308)",材料学专家
邹竞,1936年2月9日,女,浙江省平湖市,"(30.7165285872078, 121.10583903762272)",天津大学化工学院,"(39.116216724678566, 117.1784979189504)",感光材料专家
朱永_,1929年12月15日,男,安徽省泾县,"(30.599286819491837, 118.37604020628753)",清华大学核能与新能源技术研究院,"(40.20600449899894, 116.24897770912851)",核化学化工专家
陈念念,1941年10月4日,男,浙江省吴兴县,"(29.159494120760925, 119.95720242066378)",核工业理化工程研究院,"(25.842872958774407, 114.9266366763891)",核材料与核燃料专家
张寿荣,1928年2月17日,男,河北省定县,"(38.61383974925108, 115.66143362422224)",武汉钢铁集团公司,"(30.637487429501363, 114.44605266413288)",钢铁冶金专家
张国成,1931年10月12日,男,云南省昆明市,"(25.049153100453157, 102.71460113878045)",北京有色金属研究总院,"(39.97250083169844, 116.37752873728597)",稀土金属冶炼分离专家
袁渭康,1935年7月1日,男,上海市,"(31.24916171001514, 121.48789948569473)",华东理工大学,"(31.150240542587984, 121.43100141925231)",化学工程专家
余永富,1932年9月30日,男,河南省南召县,"(33.47284157696481, 112.39366620513732)",武汉理工大学,"(30.509020141126303, 114.33842984032289)",选矿工程专家
殷瑞钰,1935年7月28日,男,江苏省苏州市,"(31.317987367952437, 120.61990711548988)",钢铁研究总院,"(39.95777742216376, 116.33748886492546)",冶金学家、钢铁冶金专家
武胜,1934年9月23日,男,黑龙江省阿城市,"(45.55733518920172, 127.12462182331598)",中国工程物理研究院,"(30.631912145834242, 104.06504396475454)",核材料与工艺专家
王泽山,1935年10月10日,男,吉林省吉林市,"(43.87198833435933, 126.56454398883335)",南京理工大学,"(32.029402852369856, 118.86530733886157)",含能材料专家
汪燮卿,1933年2月1日,男,安徽省休宁县,"(29.669120361012713, 118.09308178818188)",中国石化集团,"(37.726404464336106, 116.70220624509768)",石油加工专家
唐明述,1929年3月31日,男,四川省安岳县,"(29.999677270421575, 105.40087577249899)",南京工业大学,"(32.083881267422086, 118.78164458313937)",无机非金属材料专家
毛炳权,1933年11月2日,男,广东省东莞市,"(23.043023815368237, 113.76343399075655)",北京化工研究院,"(39.97498053357518, 116.43532418039044)",高分子化工专家
王淀佐,1934年3月23日,男,辽宁省凌海市,"(41.15256615509389, 121.28557458802773)",北京有色金属研究总院,"(39.97250083169844, 116.37752873728597)",矿物工程专家
刘伯里,1931年3月17日,男,江苏省常州市,"(31.771396744684242, 119.98186101345706)",北京师范大学,"(39.966688140275465, 116.3724555802743)",放射化学和放射性药物化学专家
李恒德,1921年6月30日,男,河南省洛阳市,"(34.65736781765111, 112.44752476895121)",清华大学,"(40.00864488780562, 116.33375156995295)",核材料、材料科学专家
李东英,1920年12月14日,男,北京市,"(39.92998577808024, 116.39564503787867)",国家有色金属工业局,"(39.912548670286775, 116.32906694534555)",稀有金属冶金及材料专家
李大东,1938年2月24日,男,山东省德州市,"(37.46082592630501, 116.32816136356094)",石油化工科学研究院,"(40.80858900724971, 111.70720990833779)",石油炼制催化剂及工艺专家
柯伟,1932年12月30日,男,浙江省台州市,"(28.668283285674367, 121.44061293593727)",中国科学院金属所,"(39.91644337799662, 116.34242764441588)",金属腐蚀与防护专家
顾真安,1936年11月16日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",中国建筑材料科学研究总院,"(39.922056823574586, 116.60149076364219)",无机非金属材料专家
刘业翔,1930年9月1日,男,湖北省武昌县,"(30.56486029278519, 114.35362228468497)",中南大学,"(28.14519794888072, 113.00013894833069)",有色金属冶金专家
傅恒志,1929年8月24日,男,河南省开封市,"(34.80185417583674, 114.35164211776365)",哈尔滨工业大学,"(22.543424663521098, 113.96072173862414)",材料及冶金专家
郑裕国,1961年11月5日,男,浙江省象山县,"(29.378771009449252, 121.85866557564292)",浙江工业大学生物工程学院,"(30.29881176153678, 120.17189259712445)",生物化工专家
陈清如,1926年12月3日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",中国矿业大学,"(38.520592848923066, 106.16136336953299)",矿物加工专家
陈丙珍,1936年5月5日,女,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",清华大学,"(40.00864488780562, 116.33375156995295)",化工系统工程专家
丁传贤,1936年2月11日,男,江苏省海门市,"(31.956038868177135, 121.31247014367143)",中国科学院上海硅酸盐研究所,"(31.22239394127516, 121.42841166555183)",无机涂层材料专家
戴永年,1929年2月1日,男,云南省昆明市,"(25.049153100453157, 102.71460113878045)",昆明理工大学,"(25.066105706370763, 102.70201322858857)",有色金属真空冶金专家
崔_,1925年7月20日,男,山东省济南市,"(36.68278472716141, 117.02496706629023)",华中科技大学,"(22.53730682931616, 113.93059589017)",金属材料专家
陈蕴博,1935年1月1日,男,上海市,"(31.24916171001514, 121.48789948569473)",机械科学研究总院,"(39.941777780190165, 116.3276055478063)",金属材料专家
陈景,1935年3月9日,男,云南省大理市,"(25.693966622473024, 100.21920895421849)",云南大学,"(25.06036648669093, 102.70808943173404)",贵金属冶金专家
张兴栋,1938年4月7日,男,四川省南充市,"(30.800965168237234, 106.10555398379239)",四川大学,"(30.636985820461657, 104.08904497670915)",材料科学与工程学家
徐南平,1961年4月5日,男,安徽省桐城市,"(30.97256797210734, 116.95355904596255)",材料化学工程国家重点实验室,"(32.082801733719315, 118.78458850366853)",化学工程专家
张文海,1939年2月1日,男,福建省长乐县,"(25.915538436924663, 119.56271983506848)",中国瑞林工程技术有限公司,"(28.669539499878642, 115.9158768479336)",有色金属冶金专家
张生勇,1939年11月17日,男,陕西省咸阳市,"(34.34537299599856, 108.70750927819563)",复旦大学,"(31.30225953309914, 121.50555866735915)",精细化工专家
张联盟,1955年1月23日,男,湖北省天门市,"(30.649047356422365, 113.12623048764767)",武汉理工大学,"(30.509020141126303, 114.33842984032289)",功能梯度复合材料专家
袁晴棠,1938年5月12日,女,河南省南召县,"(33.47284157696481, 112.39366620513732)",中国石化集团公司,"(30.589634220053387, 114.25915617567836)",石油化工专家
薛群基,1942年11月28日,男,山东省沂南县,"(35.536723374853175, 118.41758556843439)",中科院兰州化学物理研究所,"(36.06422552504259, 103.8233054407292)",特种润滑材料专家
张耀明,1943年12月9日,男,江苏省无锡市,"(31.57003745192303, 120.30545590053595)",南京玻璃纤维研究设计院,"(32.11289182562414, 118.78931822860237)",无机非金属材料专家
吴峰,1951年6月12日,男,北京市,"(39.92998577808024, 116.39564503787867)",北京理工大学,"(39.96694634964199, 116.32294862424591)",新能源材料科学家
徐惠彬,1959年7月6日,男,河北省武安市,"(36.74899547659651, 114.05833396936403)",北京航空航天大学,"(39.98742228793689, 116.3538179292145)",金属材料专家
翁宇庆,1940年1月1日,男,江苏省常熟市,"(31.669446047798115, 120.8314859651577)",钢铁研究总院,"(39.95777742216376, 116.33748886492546)",钢铁材料专家
王震西,1942年9月3日,男,江苏省海门市,"(31.956038868177135, 121.31247014367143)",中国科学院物理所,"(39.91644337799662, 116.34242764441588)",磁性及非晶态材料专家
王迎军,1954年7月31日,女,河北省唐县,"(38.90452113124948, 114.80609127314982)",华南理工大学,"(23.157509509486243, 113.3514499936)",生物材料科学与工程专家
王一德,1938年12月31日,男,浙江省杭州市,"(30.259244461536102, 120.2193754157201)",太原钢铁集团有限公司,"(37.906967192590045, 112.55346611666013)",压力加工专家
汪旭光,1939年12月31日,男,安徽省枞阳县,"(30.863982478208317, 117.41703591878273)",北京矿冶研究总院,"(39.82652396242846, 116.29726695095336)",工业炸药与爆破技术专家
王静康,1938年4月9日,女,河北省秦皇岛市,"(39.945461565897574, 119.6043676161184)",天津大学化工学院,"(39.116216724678566, 117.1784979189504)",工业结晶科学与技术专家
王玉忠,1961年6月16日,男,山东省文登市,"(37.15412026978127, 122.0107822332547)",教育部工程研究中心,"(40.099398125927635, 116.2823293672891)",有机高分子材料专家
王海舟,1940年2月28日,男,福建省福州市,"(26.04712549657293, 119.33022110712668)",钢铁研究总院,"(39.95777742216376, 116.33748886492546)",冶金分析表征专家
王国栋,1942年10月2日,男,辽宁省大连市,"(38.94870993830429, 121.59347778143518)",东北大学,"(41.771517777355115, 123.42618672052966)",压力加工专家
屠海令,1946年10月5日,男,北京市,"(39.92998577808024, 116.39564503787867)",北京有色金属研究总院,"(39.97250083169844, 116.37752873728597)",半导体材料专家
谭天伟,1964年2月7日,男,湖南省湘潭市,"(27.83509505297878, 112.93555563303435)",北京化工大学,"(39.947252807033195, 116.31111920369706)",生物化工专家
孙传尧,1944年12月13日,男,山东省东平县,"(35.97516090244022, 116.3429532055832)",矿物加工科学与技术国家重点实验室,"(40.00690112636311, 116.33843187011762)",矿物加工工程专家
舒兴田,1940年4月21日,男,浙江省定海市,"(30.064847161589736, 122.07302446869352)",中石化石油化工科学研究院,"(40.80858900724971, 111.70720990833779)",分子筛和炼油催化剂制造专家
沈寅初,1938年7月7日,男,浙江省嵊县,"(29.159494120760925, 119.95720242066378)",中国化工学会,"(39.98121320996229, 116.4130004557383)",生物化工专家
彭金辉,1964年12月18日,男,云南省景东县,"(24.396728943939575, 100.79520569746283)",昆明理工大学,"(25.066105706370763, 102.70201322858857)",有色金属冶金专家
潘复生,1962年7月30日,男,浙江省金华市,"(29.10289910539069, 119.65257570368145)",重庆大学,"(29.57078101532597, 106.47541107674738)",轻金属专家
欧阳平凯,1945年8月16日,男,湖南省湘潭市,"(27.83509505297878, 112.93555563303435)",南京工业大学,"(32.083881267422086, 118.78164458313937)",生物化工专家
聂祚仁,1963年1月15日,男,湖南省长沙市,"(28.21347823085322, 112.9793527876505)",北京工业大学,"(39.88128329392662, 116.48981343252308)",难熔金属粉末冶金和铝合金领域专家
毛新平,1965年6月1日,男,湖北省鄂州市,"(30.384439322752247, 114.89559404135665)",武汉钢铁集团公司研究院,"(30.636498711586324, 114.40930389929636)",金属压力加工专家
李仲平,1964年8月5日,男,湖北省安陆市,"(31.304354863066973, 113.63338728418579)",中国运载火箭技术研究院,"(39.8103302208686, 116.41834839991392)",航天复合材料专家
李言荣,1961年7月10日,男,四川省射洪县,"(30.908078631386736, 105.38824463742212)",电子科技大学,"(30.68194977226741, 104.10761345914301)",电子信息材料专家
李卫,1957年12月1日,男,河南省洛阳市,"(34.65736781765111, 112.44752476895121)",钢铁研究总院,"(39.95777742216376, 116.33748886492546)",磁学与磁性材料专家
李元元,1958年10月3日,男,广东省梅县,"(24.364782435299553, 116.17102725100314)",吉林大学,"(43.80495638052882, 125.46828581057397)",粉末冶金和铸造专家
李冠兴,1940年1月14日,男,上海市,"(31.24916171001514, 121.48789948569473)",中国核工业集团公司,"(39.91925686620326, 116.34627735333993)",核材料专家
姜德生,1949年3月1日,男,湖北省武汉市,"(30.58108412692075, 114.31620010268132)",武汉理工大学,"(30.509020141126303, 114.33842984032289)",光纤传感技术专家
蹇锡高,1946年1月6日,男,重庆市,"(29.54460610888615, 106.53063501341296)",大连理工大学,"(38.88845504967863, 121.6698020395988)",有机高分子材料专家
黄小卫,1962年1月29日,女,湖南省临澧县,"(29.48625687812331, 111.62542246953502)",北京有色金属研究总院,"(39.97250083169844, 116.37752873728597)",有色金属冶金专家
丁文江,1953年3月28日,男,浙江省绍兴市,"(30.00236458052847, 120.59246738555154)",轻合金精密成型国家工程研究中心,"(23.155832884799587, 113.35241852683782)",轻合金研究专家
陈祥宝,1956年4月25日,男,江苏省常熟市,"(31.669446047798115, 120.8314859651577)",中国航空工业集团公司北京航空材料研究院,"(39.967567016682295, 116.461925973644)",复合材料专家
陈立泉,1940年3月29日,男,四川省南充市,"(30.800965168237234, 106.10555398379239)",中科院物理所,"(41.76848516571642, 123.4340684018708)",纳米离子材料专家
陈建峰,1965年8月29日,男,浙江省宁波市,"(29.885258965918055, 121.57900597258933)",北京化工大学,"(39.947252807033195, 116.31111920369706)",化学工程领域专家
戴厚良,1963年8月20日,男,江苏省扬州市,"(32.40850525456844, 119.42777755116975)",中国石油化工集团公司,"(39.93165598946242, 116.44164834101124)",石油化工专家
